28.11.42.00.00.00.10.30.1;части для дизельных двигателей внутреннего сгорания;топливный клапан;Штука
28.11.42.00.00.00.10.31.1;части для дизельных двигателей внутреннего сгорания;штанга;Штука
28.11.42.00.00.00.10.32.1;части для дизельных двигателей внутреннего сгорания;топливный насос;Штука
28.11.42.00.00.00.10.33.1;части для дизельных двигателей внутреннего сгорания;маслораэбрызгивающее кольцо;Штука
28.11.42.00.00.00.10.34.1;части для дизельных двигателей внутреннего сгорания;масляная ванна картера;Штука
28.11.42.00.00.00.10.35.1;части для дизельных двигателей внутреннего сгорания;станина двигателя;Штука
28.11.42.00.00.00.10.36.1;части для дизельных двигателей внутреннего сгорания;блок цилиндров;Штука
28.12.11.00.00.00.10.10.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с односторонним штоком с торможением и креплением на лапах;Штука
28.12.11.00.00.00.10.11.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с односторонним штоком с торможением и креплением на фланце;Штука
28.12.11.00.00.00.10.12.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с односторонним штоком с торможением и креплением на проушине или цапфах;Штука
28.12.11.00.00.00.10.13.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с односторонним штоком с торможением и прочими видами крепления;Штука
28.12.11.00.00.00.10.14.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с односторонним штоком без торможения с креплением на лапах;Штука
28.12.11.00.00.00.10.15.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с односторонним штоком без торможения с креплением на фланце;Штука
28.12.11.00.00.00.10.16.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с односторонним штоком без торможения с креплением на проушине или цапфах;Штука
28.12.11.00.00.00.10.17.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с односторонним штоком без торможения с прочими видами крепления;Штука
28.12.11.00.00.00.10.18.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с двухсторонним штоком с торможением и креплением на лапах;Штука
28.12.11.00.00.00.10.19.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с двухсторонним штоком с торможением и креплением на фланце;Штука
28.12.11.00.00.00.10.20.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с двухсторонним штоком с торможением и креплением на проушине или цапфах;Штука
28.12.11.00.00.00.10.21.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с двухсторонним штоком с торможением и прочими видами крепления;Штука
28.12.11.00.00.00.10.22.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с двухсторонним штоком без торможения с креплением на лапах;Штука
28.12.11.00.00.00.10.23.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с двухсторонним штоком без торможения с креплением на фланце;Штука
28.12.11.00.00.00.10.24.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с двухсторонним штоком без торможения с креплением на проушине или цапфах;Штука
28.12.11.00.00.00.10.25.1;гидроцилиндр поршневой;гидроцилиндр поршневой двухстороннего действия с двухсторонним штоком без торможения с прочими видами крепления;Штука
28.12.11.00.00.00.10.26.1;гидроцилиндр поршневой;гидроцилиндр поршневой одностороннего действия с торможением и креплением на лапах;Штука
28.12.11.00.00.00.10.27.1;гидроцилиндр поршневой;гидроцилиндр поршневой одностороннего действия с торможением и креплением на фланце;Штука
28.12.11.00.00.00.10.28.1;гидроцилиндр поршневой;гидроцилиндр поршневой одностороннего действия с торможением и креплением на проушине или цапфах;Штука
28.12.11.00.00.00.10.29.1;гидроцилиндр поршневой;гидроцилиндр поршневой одностороннего действия с торможением и прочими видами крепления;Штука
28.12.11.00.00.00.10.30.1;гидроцилиндр поршневой;гидроцилиндр поршневой одностороннего действия без торможения с креплением на лапах;Штука
28.12.11.00.00.00.10.31.1;гидроцилиндр поршневой;гидроцилиндр поршневой одностороннего действия без торможения с креплением на фланце;Штука
28.12.11.00.00.00.10.32.1;гидроцилиндр поршневой;гидроцилиндр поршневой одностороннего действия без торможения с креплением на проушине или цапфах;Штука
28.12.11.00.00.00.10.33.1;гидроцилиндр поршневой;гидроцилиндр поршневой одностороннего действия без торможения с прочими видами крепления;Штука
28.12.11.00.00.00.11.10.1;гидроцилиндр плунжерный;гидроцилиндр плунжерный с торможением и креплением на лапах;Штука
28.12.11.00.00.00.11.11.1;гидроцилиндр плунжерный;гидроцилиндр плунжерный с торможением и креплением на фланце;Штука
28.12.11.00.00.00.11.12.1;гидроцилиндр плунжерный;гидроцилиндр плунжерный с торможением и креплением на проушине или цапфах;Штука
28.12.11.00.00.00.11.13.1;гидроцилиндр плунжерный;гидроцилиндр плунжерный с торможением и прочими видами крепления;Штука
28.12.11.00.00.00.11.14.1;гидроцилиндр плунжерный;гидроцилиндр плунжерный без торможения с креплением на лапах;Штука
28.12.11.00.00.00.11.15.1;гидроцилиндр плунжерный;гидроцилиндр плунжерный без торможения с креплением на фланце;Штука
28.12.11.00.00.00.11.16.1;гидроцилиндр плунжерный;гидроцилиндр плунжерный без торможения с прочими видами крепления;Штука
28.12.11.00.00.00.11.17.1;гидроцилиндр плунжерный;гидроцилиндр плунжерный прочие;Штука
28.12.11.00.00.00.11.18.1;гидроцилиндр плунжерный;гидроцилиндр плунжерный без торможения с креплением на проушине или цапфах;Штука
28.12.11.00.00.00.12.10.1;гидроцилиндр телескопический;гидроцилиндр телескопический одностороннего действия двухступечатый;Штука
28.12.11.00.00.00.12.11.1;гидроцилиндр телескопический;гидроцилиндр телескопический одностороннего действия трехступенчатый;Штука
28.12.11.00.00.00.12.12.1;гидроцилиндр телескопический;гидроцилиндр телескопический одностороннего действия четырехступенчатый;Штука
28.12.11.00.00.00.12.13.1;гидроцилиндр телескопический;гидроцилиндр телескопический одностороннего действия многоступенчатый;Штука
28.12.11.00.00.00.12.14.1;гидроцилиндр телескопический;гидроцилиндр телескопический двухстороннего действия двухступечатый;Штука
28.12.11.00.00.00.12.15.1;гидроцилиндр телескопический;гидроцилиндр телескопический двухстороннего действия трехступенчатый;Штука
28.12.11.00.00.00.12.16.1;гидроцилиндр телескопический;гидроцилиндр телескопический двухстороннего действия четырехступенчатый;Штука
28.12.11.00.00.00.12.17.1;гидроцилиндр телескопический;гидроцилиндр телескопический двухстороннего действия многоступенчатый;Штука
28.12.11.00.00.00.13.10.1;гидроцилиндр мембранный;гидроцилиндр мембранный, ГОСТ 17752-81 ;Штука
28.12.11.00.00.00.14.10.1;гидроцилиндр сильфонный;гидроцилиндр сильфонный, ГОСТ 17752-81 ;Штука
28.12.11.00.00.00.15.10.1;гидропривод комплектный;гидропривод комплектный (гидростанции или гидроагрегаты комплектно с гидродвигателями, аппаратурой и прочими устройствами для гидропривода машин);Штука
28.12.11.00.00.00.15.11.1;гидропривод комплектный;станция гидропривода и гидроагрегат (гидропривод с насосами в комплекте с приводным двигателем, гидробаком и гидроаппаратурой);Штука
28.12.11.00.00.00.15.12.1;гидропривод комплектный;гидропривод комплектный прочие;Штука
28.12.11.00.00.00.16.10.1;гидропередача объемная;гидропередача объемная комбинированная;Штука
28.12.11.00.00.00.16.11.1;гидропередача объемная;гидропривод, система дистанционного управления электрогидравлическая, система силовой следящие электрогидравлическая;Штука
28.12.11.00.00.00.17.10.1;гидропреобразователь (преобразователи давления);непрерывное преобразование значения измеряемого параметра давления абсолютного, избыточного, разрежения, давления-разрежения, гидростатического и разности давлений нейтральных и агрессивных сред в унифицированный токовый выходной сигнал;Штука
28.12.11.00.00.00.17.11.1;гидроаккумулятор грузовой;накопление энергии гидравлической жидкости и её возврат в систему происходит за счет потенциальной энергии находящегося на определённой высоте груза;Штука
28.12.11.00.00.00.17.12.1;гидроаккумулятор пружинный;накопление энергии гидравлической жидкости и её возврат в систему происходит за счёт механической энергии сжатой пружины;Штука
28.12.11.00.00.00.17.13.1;пневмогидроаккумулятор;накопление энергии гидравлической жидкости и её возврат в систему происходит за счёт энергии сжатого газа. В пневмогидроаккумуляторах в качестве сжимаемой среды используется газ азот или сжатый воздух;Штука
28.12.11.00.00.00.17.14.1;гидроусилитель;регулируемый гидропривод, в котором закон движения выходного звена (вала гидромотора или штока гидроцилиндра) изменяется в зависимости от управляющего воздействия;Штука
28.12.11.00.00.00.18.10.1;гидроусилитель руля;автомобильная гидравлическая система, часть рулевого механизма, предназначенная для более лёгкого управления направлением движения автомобиля при сохранении необходимой ?обратной связи? и обеспечении устойчивости и однозначности задаваемой траектории;Штука
28.12.11.00.00.00.19.10.1;гидроувеличитель сцепного веса;пускают дизель при включенном насосе гидросистемы и проверяют работу гидросистемы, несколько раз подняв и опустив машину. Проверяют давление срабатывания предохранительного клапана;Штука
28.12.11.00.00.00.20.10.1;сервопривод управления;привод с управлением через отрицательную обратную связь, позволяющую точно управлять параметрами движения;Штука
28.12.11.00.00.00.20.11.1;сервопривод управления;Синхронный сервопривод  позволяет точно задавать угол поворота (с точностью до угловых минут), скорость вращения, ускорение;Штука
28.12.11.00.00.00.20.12.1;сервопривод управления;Асинхронный сервопривод позволяет точно задавать скорость, даже на низких оборотах;Штука
